system,mapping_type,original_name,generic_id
ATS,object,AURIC::ZC::ZCRestart,2197
ATS,object,AURIC::ZC::ZCSwitchover,2195
ATS,object,AURICMessageFormatter,4972
ATS,object,AbsDurConfigObject,4969
ATS,object,AbsTime,244
ATS,object,AbsTimeAlarmTextConverterType,5294
ATS,object,AbsTimeCol,2877
ATS,object,AbsTimeTextConverterType,2638
ATS,object,AccelerationCol,968
ATS,object,AccelerationProfile,418
ATS,object,AccelerationProfile::AccelRate,417
ATS,object,AccelerationProfileBase,416
ATS,object,Accelerators,2697
ATS,object,AccessTokenInfo,5261
ATS,object,ActivateServerCmd,5175
ATS,object,ActiveCol,2943
ATS,object,ActiveDescCol,1126
ATS,object,ActiveMQClient,4640
ATS,object,ActiveVobcCol,980
ATS,object,ActualArrCol,2806
ATS,object,ActualDepCol,2807
ATS,object,AdapterClientHeartbeatProducer,4642
ATS,object,AdapterClientHeartbeatProducerSkeleton,4641
ATS,object,AdapterHeartbeatProducer,4643
ATS,object,AdapterStateManager,4644
ATS,object,AggSubjImpl,257
ATS,object,Aggregate,255
ATS,object,Alarm,922
ATS,object,AlarmAcknowledge,862
ATS,object,AlarmAcknowledgeCmd,2
ATS,object,AlarmAcknowledgeDlg,864
ATS,object,AlarmAddUpdate,776
ATS,object,AlarmAllUpdate,775
ATS,object,AlarmCountDlgBar,871
ATS,object,AlarmDefn,2549
ATS,object,AlarmDeleteUpdate,777
ATS,object,AlarmFilteringDlg,903
ATS,object,AlarmHandler,5155
ATS,object,AlarmLessFunctor,2548
ATS,object,AlarmListCtrl,853
ATS,object,AlarmManager,2546
ATS,object,AlarmManager::SCADAHandler,2547
ATS,object,AlarmManagerMediary,4237
ATS,object,AlarmManagerPort,3187
ATS,object,AlarmManagerSkeleton,2545
ATS,object,AlarmMediary,4235
ATS,object,AlarmNameUtil,5310
ATS,object,AlarmPort,3188
ATS,object,AlarmPresentation,867
ATS,object,AlarmPresentationMgr,866
ATS,object,AlarmServerTestObserver,4717
ATS,object,AlarmServerUtil,2571
ATS,object,AlarmShelveRecovery,4125
ATS,object,AlarmSkeleton,2542
ATS,object,AlarmSoundManager,881
ATS,object,AlarmSource,766
ATS,object,AlarmSourceSkeleton,765
ATS,object,AlarmStringManager,5295
ATS,object,AlarmTestWidget,4719
ATS,object,AlarmTestWidgetController,4720
ATS,object,AlarmTextConverter,5311
ATS,object,AlarmTextConverterType,5296
ATS,object,AlarmUpdateUpdate,778
ATS,object,AlarmWindow,897
ATS,object,AlarmWndLayout,882
ATS,object,AlarmsDlg,883
ATS,object,AliasObjectGroup,2350
ATS,object,AliasRegister,334
ATS,object,AlignmentCol,978
ATS,object,AliveMessage,832
ATS,object,AliveStatusSubscription,4440
ATS,object,AliveStatusSubscriptionHandler,4442
ATS,object,AliveUpdate,4441
ATS,object,AlternateCol,2968
ATS,object,AnInt,3987
ATS,object,Annotation,2699
ATS,object,AnnotationMgr,1240
ATS,object,AnnotationMgrMediary,4240
ATS,object,AnnotationMgrPort,3280
ATS,object,AnnotationMgrSkeleton,3199
ATS,object,AntiBunch,1265
ATS,object,AntiBunchDlg,1266
ATS,object,AntiBunchingCmd,3
ATS,object,AntiBunchingGD0Col,956
ATS,object,AntiBunchingGD1Col,957
ATS,object,Any,218
ATS,object,Any::Array,226
ATS,object,Any::Flattened_Any,228
ATS,object,Any::GetBufBuffer,230
ATS,object,Any::STLDeque,220
ATS,object,Any::STLList,221
ATS,object,Any::STLMap,222
ATS,object,Any::STLMultimap,223
ATS,object,Any::STLPair,224
ATS,object,Any::STLSet,219
ATS,object,Any::STLVector,225
ATS,object,Any::String,227
ATS,object,Any::UnknownSTLTypeId,229
ATS,object,AnyRegister,205
ATS,object,AnyRegister::AnyRegisterConvertMap,207
ATS,object,AnyRegister::AnyRegisterFlattenMap,209
ATS,object,AnyRegister::AnyRegisterFlattenedSizeMap,210
ATS,object,AnyRegister::AnyRegisterMap,206
ATS,object,AnyRegister::AnyRegisterReflectMap,212
ATS,object,AnyRegister::AnyRegisterToStrMap,208
ATS,object,AnyRegister::AnyRegisterUnflattenMap,211
ATS,object,AnyRegisterImpl,216
ATS,object,AnyRegisterManager,2342
ATS,object,AnySerializer,215
ATS,object,AnyTypeDef,2502
ATS,object,ApplicCol,1907
ATS,object,ApproachLockedStatusCol,1391
ATS,object,AreaConflict,3322
ATS,object,AreaConflictDistributor,4611
ATS,object,ArrivalLocationSelectionDlg,1267
ATS,object,ArrivalOrderSort,2684
ATS,object,ArrivalTimeCol,2770
ATS,object,ArrivalTimePreview,2903
ATS,object,AspectCol,1187
ATS,object,AssignDwells,1268
ATS,object,AssignDwellsCmd,4
ATS,object,AssignDwellsDlg,1264
ATS,object,AssignSchedule,2935
ATS,object,AssignScheduleCmd,5
ATS,object,AssignTrainDwells,1001
ATS,object,AssignTrainDwellsCmd,6
ATS,object,AssignTrainDwellsDlg,1000
ATS,object,AssignmentCol,1446
ATS,object,AssignmentManager,477
ATS,object,AssignmentUtil,386
ATS,object,AssocRegister,333
ATS,object,AsyncRestClient,5149
ATS,object,AsyncRestMessage,5260
ATS,object,AttrDef,2509
ATS,object,AttrUpdateCmd,7
ATS,object,AttributeDef,237
ATS,object,AttributeIndex,2680
ATS,object,AttributeIndexMgr,2681
ATS,object,AttributeSetting,905
ATS,object,AttributeSettingBase,904
ATS,object,AttributeState,3120
ATS,object,AttributeState::PDD_Persist_Buffer,3121
ATS,object,Audio,1269
ATS,object,AudioDlg,1273
ATS,object,AudioModeCmd,8
ATS,object,AudioModeCol,949
ATS,object,AudioMsgData,2575
ATS,object,AudioMsgListCtrl,1270
ATS,object,AudioRqstCmd,9
ATS,object,AuricMessageFormatter,3196
ATS,object,AuthoriseTransfer,1940
ATS,object,AuthoriseTransferCmd,10
ATS,object,AuthoriseTransferDlg,1945
ATS,object,AutoAssignLineCol,1429
ATS,object,AutoAssignListCtrl,1428
ATS,object,AutoAssignRunCol,1430
ATS,object,AutoAssigner,447
ATS,object,AutoAssignerMediary,4344
ATS,object,AutoAssignerPort,619
ATS,object,AutoAssignerSkeleton,446
